MoonRise,Az,Phase,Paksha,days,Fullmoon,Newmoon,Eclipse
1/1/01,123.2868,0.158,Krishna,0,0,1,0
1/2/01,121.8232,1.26,Shukla,1,0,0,0
1/3/01,118.4636,4.302,Shukla,2,0,0,0
1/4/01,114.5132,9.084,Shukla,3,0,0,0
1/5/01,110.1648,15.373,Shukla,4,0,0,0
1/6/01,104.5023,22.883,Shukla,5,0,0,0
1/7/01,97.606,31.347,Shukla,6,0,0,0
1/8/01,91.579,40.618,Shukla,7,0,0,0
1/9/01,85.4013,50.391,Shukla,8,0,0,0
1/10/01,79.0929,60.371,Shukla,9,0,0,0
1/11/01,72.7081,70.209,Shukla,10,0,0,0
1/12/01,66.3571,79.475,Shukla,11,0,0,0
1/13/01,62.2848,87.758,Shukla,12,0,0,0
1/14/01,58.8178,94.319,Shukla,13,0,0,0
1/15/01,58.5067,98.587,Shukla,14,0,0,0
1/16/01,59.8501,99.941,Shukla,15,1,0,0
1/17/01,64.2296,98.088,Krishna,16,0,0,0
1/18/01,70.574,93.08,Krishna,17,0,0,0
1/19/01,77.4136,85.382,Krishna,18,0,0,0
1/20/01,85.2257,75.625,Krishna,19,0,0,0
1/21/01,93.4115,64.578,Krishna,20,0,0,0
1/22/01,101.4252,53.004,Krishna,21,0,0,0
1/23/01,107.7075,41.654,Krishna,22,0,0,0
1/24/01,114.0674,30.956,Krishna,23,0,0,0
1/25/01,118.0663,21.479,Krishna,24,0,0,0
1/26/01,121.7321,13.454,Krishna,25,0,0,0
1/28/01,122.9481,7.214,Krishna,27,0,0,0
1/29/01,121.9015,2.888,Krishna,28,0,0,0
1/30/01,119.9011,0.524,Krishna,29,0,0,0
1/31/01,116.1541,0.137,Krishna,30,0,1,0
2/1/01,111.9251,1.668,Shukla,31,0,0,0
2/2/01,106.3305,4.999,Shukla,32,0,0,0
2/3/01,100.5239,9.998,Shukla,33,0,0,0
2/4/01,93.5394,16.456,Shukla,34,0,0,0
2/5/01,87.4856,24.256,Shukla,35,0,0,0
2/6/01,81.3584,33.15,Shukla,36,0,0,0
2/7/01,75.1978,42.89,Shukla,37,0,0,0
2/8/01,69.0765,53.183,Shukla,38,0,0,0
2/9/01,64.1367,63.733,Shukla,39,0,0,0
2/10/01,60.6139,74.071,Shukla,40,0,0,0
2/11/01,58.8878,83.589,Shukla,41,0,0,0
2/12/01,58.4323,91.514,Shukla,42,0,0,0
2/13/01,61.782,97.181,Shukla,43,0,0,0
2/14/01,67.1087,99.846,Shukla,44,1,0,0
2/15/01,74.252,99.16,Krishna,45,0,0,0.5
2/16/01,81.6517,95.182,Krishna,46,0,0,0
2/17/01,89.736,88.321,Krishna,47,0,0,0
2/18/01,97.8757,79.247,Krishna,48,0,0,0
2/19/01,105.5164,68.748,Krishna,49,0,0,0
2/20/01,112.2183,57.588,Krishna,50,0,0,0
2/21/01,117.6768,46.426,Krishna,51,0,0,0
2/22/01,120.6608,35.846,Krishna,52,0,0,0
2/23/01,122.2717,26.181,Krishna,53,0,0,0
2/24/01,122.6457,17.737,Krishna,54,0,0,0
2/25/01,120.9576,10.781,Krishna,55,0,0,0
2/27/01,117.4578,5.469,Krishna,57,0,0,0
2/28/01,113.4066,1.9,Krishna,58,0,0,0
1901-02-29,107.9249,0.171,Krishna,58,0,1,0
3/1/01,102.1771,0.307,Shukla,59,0,1,0
3/2/01,96.2503,2.305,Shukla,60,0,0,0
3/3/01,89.1813,6.087,Shukla,61,0,0,0
3/4/01,83.0864,11.602,Shukla,62,0,0,0
3/5/01,76.9902,18.69,Shukla,63,0,0,0
3/6/01,70.9666,27.163,Shukla,64,0,0,0
3/7/01,66.138,36.851,Shukla,65,0,0,0
3/8/01,61.6666,47.388,Shukla,66,0,0,0
3/9/01,58.834,58.452,Shukla,67,0,0,0
3/10/01,58.0223,69.525,Shukla,68,0,0,0
3/11/01,59.6685,79.945,Shukla,69,0,0,0
3/12/01,64.1183,88.925,Shukla,70,0,0,0
3/13/01,70.3944,95.607,Shukla,71,0,0,0
3/14/01,77.1555,99.317,Shukla,72,0,0,0
3/15/01,86.0182,99.716,Shukla,73,1,0,0
3/16/01,94.1875,96.797,Krishna,74,0,0,0
3/17/01,102.1067,90.943,Krishna,75,0,0,0
3/18/01,109.229,82.791,Krishna,76,0,0,0
3/19/01,115.1498,73.088,Krishna,77,0,0,0
3/20/01,119.6459,62.552,Krishna,78,0,0,0
3/21/01,122.6944,51.797,Krishna,79,0,0,0
3/22/01,123.3689,41.365,Krishna,80,0,0,0
3/23/01,121.9235,31.616,Krishna,81,0,0,0
3/24/01,118.6297,22.83,Krishna,82,0,0,0
3/25/01,114.7555,15.194,Krishna,83,0,0,0
3/26/01,109.4171,8.951,Krishna,84,0,0,0
3/27/01,103.7711,4.244,Krishna,85,0,0,0
3/29/01,97.9003,1.237,Krishna,87,0,0,0
3/30/01,91.8724,0.058,Krishna,88,0,1,0
3/31/01,84.7245,0.786,Shukla,89,0,0,0
4/1/01,78.5816,3.461,Shukla,90,0,0,0
4/2/01,72.5019,8.059,Shukla,91,0,0,0
4/3/01,67.6214,14.531,Shukla,92,0,0,0
4/4/01,63.0899,22.679,Shukla,93,0,0,0
4/5/01,60.1608,32.321,Shukla,94,0,0,0
4/6/01,58.1311,43.052,Shukla,95,0,0,0
4/7/01,59.4168,54.572,Shukla,96,0,0,0
4/8/01,62.2769,66.147,Shukla,97,0,0,0
4/9/01,66.834,77.081,Shukla,98,0,0,0
4/10/01,74.0324,86.653,Shukla,99,0,0,0
4/11/01,81.3752,93.983,Shukla,100,0,0,0
4/12/01,89.3905,98.508,Shukla,101,0,0,0
4/13/01,97.4723,99.864,Shukla,102,1,0,0
4/14/01,106.1071,98.014,Krishna,103,0,0,0
4/15/01,112.5911,93.301,Krishna,104,0,0,0
4/16/01,117.6662,86.276,Krishna,105,0,0,0
4/17/01,121.2027,77.59,Krishna,106,0,0,0
4/18/01,122.2336,67.928,Krishna,107,0,0,0
4/19/01,122.0816,57.784,Krishna,108,0,0,0
4/20/01,119.9936,47.649,Krishna,109,0,0,0
4/21/01,116.2356,37.873,Krishna,110,0,0,0
4/22/01,112.0486,28.694,Krishna,111,0,0,0
4/23/01,106.5014,20.418,Krishna,112,0,0,0
4/24/01,99.6839,13.279,Krishna,113,0,0,0
4/25/01,93.7192,7.435,Krishna,114,0,0,0
4/26/01,87.6169,3.165,Krishna,115,0,0,0
4/27/01,81.4341,0.688,Krishna,116,0,0,0
4/29/01,75.2564,0.186,Krishna,118,0,1,0
4/30/01,69.2085,1.781,Shukla,119,0,0,0
5/1/01,64.4757,5.551,Shukla,120,0,0,0
5/2/01,60.2804,11.433,Shukla,121,0,0,0
5/3/01,58.9829,19.379,Shukla,122,0,0,0
5/4/01,58.8868,29.019,Shukla,123,0,0,0
5/5/01,61.3302,40.007,Shukla,124,0,0,0
5/6/01,65.4257,51.736,Shukla,125,0,0,0
5/7/01,71.09,63.565,Shukla,126,0,0,0
5/8/01,78.0328,74.773,Shukla,127,0,0,0
5/9/01,85.8133,84.612,Shukla,128,0,0,0
5/10/01,93.9004,92.378,Shukla,129,0,0,0
5/11/01,101.7258,97.518,Shukla,130,0,0,0
5/12/01,109.8298,99.722,Shukla,131,1,0,0
5/13/01,115.5674,98.945,Krishna,132,0,0,0
5/14/01,119.7619,95.458,Krishna,133,0,0,0
5/15/01,122.3863,89.698,Krishna,134,0,0,0
5/16/01,122.5736,82.23,Krishna,135,0,0,0
5/17/01,120.6656,73.585,Krishna,136,0,0,0
5/18/01,118.0471,64.179,Krishna,137,0,0,0
5/19/01,112.8607,54.507,Krishna,138,0,0,0
5/20/01,108.4143,44.748,Krishna,139,0,0,0
5/21/01,102.7063,35.301,Krishna,140,0,0,0
5/22/01,95.7932,26.441,Krishna,141,0,0,0
5/23/01,89.7743,18.348,Krishna,142,0,0,0
5/24/01,83.6435,11.37,Krishna,143,0,0,0
5/25/01,77.4547,5.82,Krishna,144,0,0,0
5/26/01,71.3057,2.014,Krishna,145,0,0,0
5/27/01,66.3628,0.235,Krishna,146,0,1,0
5/29/01,61.849,0.746,Shukla,148,0,0,0
5/30/01,59.0964,3.7,Shukla,149,0,0,0
5/31/01,58.496,9.126,Shukla,150,0,0,0
6/1/01,60.4164,16.874,Shukla,151,0,0,0
6/2/01,64.0197,26.542,Shukla,152,0,0,0
6/3/01,69.2611,37.616,Shukla,153,0,0,0
6/4/01,75.8729,49.471,Shukla,154,0,0,0
6/5/01,83.4378,61.411,Shukla,155,0,0,0
6/6/01,91.4623,72.716,Shukla,156,0,0,0
6/7/01,99.4243,82.687,Shukla,157,0,0,0
6/8/01,106.8027,90.716,Shukla,158,0,0,0
6/9/01,113.1193,96.344,Shukla,159,0,0,0
6/10/01,118.0112,99.32,Shukla,160,0,0,0
6/11/01,121.3131,99.613,Shukla,161,1,0,0
6/12/01,122.0351,97.411,Krishna,162,0,0,0
6/13/01,121.5221,93.023,Krishna,163,0,0,0
6/14/01,119.0665,86.862,Krishna,164,0,0,0
6/15/01,114.9869,79.341,Krishna,165,0,0,0
6/16/01,109.518,70.844,Krishna,166,0,0,0
6/17/01,104.8755,61.614,Krishna,167,0,0,0
6/18/01,98.0158,52.111,Krishna,168,0,0,0
6/19/01,92.0866,42.463,Krishna,169,0,0,0
6/20/01,86.0656,33.012,Krishna,170,0,0,0
6/21/01,78.9532,24.124,Krishna,171,0,0,0
6/22/01,73.866,15.981,Krishna,172,0,0,0
6/23/01,67.8456,9.14,Krishna,173,0,0,0
6/24/01,63.1069,3.931,Krishna,174,0,0,0
6/25/01,59.942,0.81,Krishna,175,0,0,0
6/26/01,58.7489,0.183,Krishna,176,0,1,0
6/28/01,59.9656,2.321,Shukla,178,0,0,0
